#################################################################################
# File contains MLS Version v5 ClO bias correction values (NOT scaled to ppbv)
# These bias correction values pertain ONLY to MLS v05.0x ClO measurements
# Each row is a different latitude in degrees
# Each column is a different MLS retrieval pressure surface in hPa
# The bad/missing data value is:      -999.990
# The bias values need to be interpolated to the MLS L2 measurement locations
# Correct for the bias by subtracting these values from MLS L2 ClO data values
# Perform the bias correction *before* interpolating to a different vertical grid
# See the v05.0x MLS Data Quality Document [Livesey et al., 2020] for more details
#################################################################################
35 Number of Latitudes
 3 Number of Surfaces
         146.78    100.00     68.13 
-85.0   -999.99   -999.99   -999.99
-80.0 -7.22E-12 -6.04E-11 -5.15E-11
-75.0 -4.76E-11 -8.36E-11 -6.63E-11
-70.0 -6.57E-11 -8.68E-11 -6.82E-11
-65.0 -7.38E-11 -9.21E-11 -6.84E-11
-60.0 -5.04E-11 -1.05E-10 -6.97E-11
-55.0 -1.59E-11 -1.10E-10 -6.76E-11
-50.0  1.45E-11 -1.08E-10 -6.70E-11
-45.0  4.95E-11 -1.11E-10 -6.95E-11
-40.0  8.84E-11 -1.04E-10 -6.65E-11
-35.0  1.23E-10 -8.80E-11 -6.35E-11
-30.0  1.91E-10 -7.03E-11 -5.96E-11
-25.0  2.26E-10 -5.36E-11 -5.11E-11
-20.0  2.70E-10 -2.12E-11 -4.51E-11
-15.0  3.39E-10  7.89E-12 -4.06E-11
-10.0  3.93E-10  3.10E-11 -3.94E-11
 -5.0  4.22E-10  4.24E-11 -4.02E-11
  0.0  4.31E-10  3.79E-11 -4.09E-11
  5.0  4.00E-10  3.83E-11 -4.08E-11
 10.0  3.67E-10  2.26E-11 -4.29E-11
 15.0  3.41E-10 -4.66E-12 -4.42E-11
 20.0  3.15E-10 -2.38E-11 -4.74E-11
 25.0  2.57E-10 -4.93E-11 -5.35E-11
 30.0  1.90E-10 -7.89E-11 -6.31E-11
 35.0  1.42E-10 -9.43E-11 -7.35E-11
 40.0  8.94E-11 -1.15E-10 -8.07E-11
 45.0  5.42E-11 -1.21E-10 -8.16E-11
 50.0  4.11E-11 -1.27E-10 -7.87E-11
 55.0  2.22E-11 -1.30E-10 -7.80E-11
 60.0  5.46E-12 -1.19E-10 -7.55E-11
 65.0  2.72E-12 -1.07E-10 -6.89E-11
 70.0 -5.54E-12 -1.01E-10 -6.43E-11
 75.0 -6.10E-13 -8.35E-11 -5.62E-11
 80.0  2.44E-12 -7.08E-11 -4.66E-11
 85.0   -999.99   -999.99   -999.99
 
