Averaging kernel etc. information for: BrO
Useful range: 10 hPa to 3.2 hPa (32.0 to 39.9 km)
Mean vertical resln. over this range: 5.6 km, (5.3 -- 6.0 km)
      p/hPa  prec./pptv    VR/km
 1000.00000       1000.  -999.99
  681.29205       1000.  -999.99
  464.15887       1000.  -999.99
  316.22775       1000.  -999.99
  215.44347       1000.  -999.99
  146.77992       399.6     4.26
  100.00000       231.0     5.54
   68.12920       174.5     5.00
   46.41589       146.3     4.60
   31.62278       127.9     4.35
   21.54435       118.2     4.43
   14.67799       119.6     5.48
   10.00000       122.9     5.40
    6.81292       126.0     5.32
    4.64159       131.5     5.68
    3.16228       139.8     6.05
    2.15443       150.2     6.51
    1.46780       161.8     6.87
    1.00000       174.2     7.19
    0.68129       190.0     8.03
    0.46416       208.6     8.77
    0.31623       229.8     9.50
    0.21544       251.4    10.62
    0.14678       271.8    13.99
    0.10000       291.1    15.11
    0.04642       312.5    13.61
    0.02154       331.2    12.72
    0.01000       342.7    12.09
    0.00464       349.2    11.90
    0.00215       377.1    14.33
    0.00100       526.0     5.26
    0.00046       1000.  -999.99
    0.00022       1000.  -999.99
    0.00010       1000.  -999.99
    0.00005       1000.  -999.99
    0.00002       1000.  -999.99
    0.00001       1000.  -999.99
