Averaging kernel etc. information for: CH3CN
Useful range: 0.00e+00 hPa to 0.00e+00 hPa (Inf to Inf km)
Mean vertical resln. over this range: -1000.0 km, (-1000.0 -- -1000.0 km)
      p/hPa  prec./pptv    VR/km     HR/km
 1000.00000       2000.  -999.99      0.00
  681.29205       2000.  -999.99      0.00
  464.15887       2000.  -999.99      0.00
  316.22775       2000.  -999.99      0.00
  215.44347       2000.  -999.99      0.00
  146.77992       180.0     4.79    775.02
  100.00000       58.50     6.05    699.56
   68.12920       41.84     5.35    571.45
   46.41589       36.57     4.90    516.52
   31.62278       34.21     5.19    472.56
   21.54435       35.50     6.17    432.47
   14.67799       37.53     6.73    408.22
   10.00000       39.18     6.84    410.34
    6.81292       41.77     7.22    436.82
    4.64159       45.46     7.63    479.26
    3.16228       49.91     8.26    532.75
    2.15443       60.05     8.30    599.62
    1.46780       86.07     7.42    693.33
    1.00000       160.3     5.96    862.80
    0.68129       832.4     4.40    124.80
    0.46416       1180.     3.52    119.16
    0.31623       1399.     4.20    122.69
    0.21544       1581.     5.04    127.66
    0.14678       1733.     7.54    129.56
    0.10000       1790.     9.10    125.70
    0.04642       1895.    12.13    121.68
    0.02154       1976.    15.91    120.61
    0.01000       1995.    20.94    120.50
    0.00464       1999.    22.40    118.92
    0.00215       2000.    20.15    119.61
    0.00100       2000.    19.73    129.13
    0.00046       2000.  -999.99      0.00
    0.00022       2000.  -999.99      0.00
    0.00010       2000.  -999.99      0.00
    0.00005       2000.  -999.99      0.00
    0.00002       2000.  -999.99      0.00
    0.00001       2000.  -999.99      0.00
