Averaging kernel etc. information for: CH3Cl
Useful range: 147 hPa to 4.6 hPa (13.3 to 37.4 km)
Mean vertical resln. over this range: 6.4 km, (3.4 -- 9.8 km)
      p/hPa  prec./pptv    VR/km     HR/km
 1000.00000       500.0  -999.99      0.00
  681.29205       500.0  -999.99      0.00
  464.15887       500.0  -999.99      0.00
  316.22775       500.0  -999.99      0.00
  215.44347       500.0  -999.99      0.00
  146.77992       205.1     3.40    561.34
  100.00000       117.9     4.51    504.18
   68.12920       104.1     4.52    475.25
   46.41589       101.2     4.70    461.01
   31.62278       105.5     5.24    463.64
   21.54435       113.4     5.90    495.14
   14.67799       129.4     7.13    570.87
   10.00000       144.8     8.77    693.30
    6.81292       156.5     9.57    793.71
    4.64159       166.9     9.79    875.91
    3.16228       175.8    10.35    954.53
    2.15443       195.1    11.08   1043.64
    1.46780       242.4    11.11   1144.16
    1.00000       282.4    14.25   1155.38
    0.68129       498.6    19.71    254.58
    0.46416       499.3    22.58    258.15
    0.31623       499.6    24.31    266.33
    0.21544       499.8    25.40    271.79
    0.14678       499.9    23.38    274.44
    0.10000       499.9    21.87    273.70
    0.04642       500.0    21.20    268.53
    0.02154       500.0    20.73    263.42
    0.01000       500.0    20.47    258.14
    0.00464       500.0    20.29    253.67
    0.00215       500.0    20.13    247.30
    0.00100       500.0    19.99    240.83
    0.00046       500.0  -999.99      0.00
    0.00022       500.0  -999.99      0.00
    0.00010       500.0  -999.99      0.00
    0.00005       500.0  -999.99      0.00
    0.00002       500.0  -999.99      0.00
    0.00001       500.0  -999.99      0.00
