Averaging kernel etc. information for: CH3OH
Useful range: 146 hPa to 100 hPa (13.4 to 16.0 km)
Mean vertical resln. over this range: 4.3 km, (3.5 -- 5.1 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       5.000  -999.99      0.00
  681.29205       5.000  -999.99      0.00
  464.15887       5.000  -999.99      0.00
  316.22775       5.000  -999.99      0.00
  215.44347       5.000  -999.99      0.00
  146.77992       1.348     3.47    232.92
  100.00000      0.6091     5.13    250.07
   68.12920      0.2601     6.72    248.47
   46.41589      0.2479     5.48    258.90
   31.62278      0.1689     4.05    413.98
   21.54435      0.2918     3.73    237.08
   14.67799      0.3119     3.80    245.49
   10.00000      0.3313     4.00    255.32
    6.81292      0.3586     4.32    285.28
    4.64159      0.3950     4.87    340.29
    3.16228      0.4436     5.50    385.09
    2.15443      0.5369     5.84    439.23
    1.46780      0.7763     5.49    547.54
    1.00000       1.167     4.52    742.28
    0.68129       3.513     5.50    275.16
    0.46416       4.097     5.66    305.04
    0.31623       4.384     6.50    305.71
    0.21544       4.611     7.91    296.74
    0.14678       4.778    11.13    296.33
    0.10000       4.831    14.07    286.92
    0.04642       4.912    17.85    281.06
    0.02154       4.979    22.77    279.31
    0.01000       4.995    24.65    279.59
    0.00464       4.999    23.61    281.42
    0.00215       5.000    22.99    282.90
    0.00100       5.000    22.83    283.87
    0.00046       5.000  -999.99      0.00
    0.00022       5.000  -999.99      0.00
    0.00010       5.000  -999.99      0.00
    0.00005       5.000  -999.99      0.00
    0.00002       5.000  -999.99      0.00
    0.00001       5.000  -999.99      0.00
