Averaging kernel etc. information for: CH3OH
Useful range: 146 hPa to 100 hPa (13.4 to 16.0 km)
Mean vertical resln. over this range: -497.6 km, (-1000.0 -- 4.8 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       5.000  -999.99      0.00
  681.29205       5.000  -999.99      0.00
  464.15887       5.000  -999.99      0.00
  316.22775       5.000  -999.99      0.00
  215.44347       5.000  -999.99      0.00
  146.77992       1.611  -999.99    124.41
  100.00000      0.6477     4.78    241.42
   68.12920      0.2712     5.56    482.47
   46.41589      0.2515     4.91    446.15
   31.62278      0.1687     4.08    478.61
   21.54435      0.2873     3.60    306.21
   14.67799      0.3098     3.72    274.12
   10.00000      0.3284     3.96    267.38
    6.81292      0.3569     4.42    278.79
    4.64159      0.3896     4.87    306.79
    3.16228      0.4356     5.37    360.63
    2.15443      0.5269     5.72    433.62
    1.46780      0.7605     5.31    526.68
    1.00000       1.156     4.34    638.04
    0.68129       3.437     4.27    124.73
    0.46416       4.074     5.25    126.06
    0.31623       4.388     6.24    127.11
    0.21544       4.622     7.30    130.59
    0.14678       4.778    10.78    131.85
    0.10000       4.827    12.00    126.84
    0.04642       4.919    15.68    120.22
    0.02154       4.981    20.78    116.83
    0.01000       4.996    21.87    115.12
    0.00464       4.999    20.38    114.15
    0.00215       5.000    20.10    113.36
    0.00100       5.000    20.03    112.32
    0.00046       5.000  -999.99      0.00
    0.00022       5.000  -999.99      0.00
    0.00010       5.000  -999.99      0.00
    0.00005       5.000  -999.99      0.00
    0.00002       5.000  -999.99      0.00
    0.00001       5.000  -999.99      0.00
