Averaging kernel etc. information for: CO
Useful range: 215 hPa to 4.60e-03 hPa (10.7 to 85.4 km)
Mean vertical resln. over this range: 5.0 km, (4.1 -- 6.3 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       500.0  -999.99      0.00
  681.29205       500.0  -999.99      0.00
  464.15887       500.0  -999.99      0.00
  316.22775       37.32     4.57    743.63
  215.44347       19.67     5.66    684.86
  146.77992       16.10     5.42    581.24
  100.00000       14.16     5.16    452.90
   68.12920       11.62     5.00    384.77
   46.41589       9.090     4.96    414.09
   31.62278       9.278     4.97    388.94
   21.54435       10.13     5.19    383.90
   14.67799       12.52     5.33    404.46
   10.00000       16.24     5.16    445.22
    6.81292       23.40     5.00    367.82
    4.64159       32.84     4.89    335.29
    3.16228       45.37     4.79    324.45
    2.15443       68.01     4.82    255.99
    1.46780       96.51     4.61    237.65
    1.00000       132.7     4.18    241.44
    0.68129       188.1     4.10    222.54
    0.46416       269.4     4.23    223.54
    0.31623       375.3     4.30    234.73
    0.21544       575.0     4.42    206.00
    0.14678       840.6     4.20    198.97
    0.10000       1042.     4.79    193.40
    0.04642       1697.     6.29    164.73
    0.02154       2777.     5.84    177.53
    0.01000       4727.     5.80    167.30
    0.00464       6958.     5.87    183.45
    0.00215       8896.     5.94    219.13
    0.00100   1.215e+04     7.36     33.87
    0.00046   2.048e+04    10.07    176.60
    0.00022   5.000e+04  -999.99      0.00
    0.00010   5.000e+04  -999.99      0.00
    0.00005   5.000e+04  -999.99      0.00
    0.00002   5.000e+04  -999.99      0.00
    0.00001   5.000e+04  -999.99      0.00
