Averaging kernel etc. information for: ClO
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 3.4 km, (3.0 -- 4.3 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       3.000  -999.99      0.00
  681.29205       3.000  -999.99      0.00
  464.15887       3.000  -999.99      0.00
  316.22775       3.000  -999.99      0.00
  215.44347       3.000  -999.99      0.00
  146.77992      0.4389     3.05    753.87
  100.00000      0.1647     3.26    527.55
   68.12920      0.1274     3.01    463.34
   46.41589      0.1152     2.98    421.95
   31.62278      0.1134     3.04    367.02
   21.54435      0.1279     3.20    311.97
   14.67799      0.1356     3.30    273.62
   10.00000      0.1421     3.43    259.28
    6.81292      0.1527     3.63    260.02
    4.64159      0.1622     3.79    272.09
    3.16228      0.1768     4.01    295.79
    2.15443      0.2106     4.27    336.20
    1.46780      0.2782     3.73    404.20
    1.00000      0.3830     3.08    497.23
    0.68129       1.097     3.01    132.92
    0.46416       1.510     3.24    138.07
    0.31623       1.830     3.65    135.43
    0.21544       2.121     4.18    145.79
    0.14678       2.385     5.75    150.64
    0.10000       2.471     7.88    155.24
    0.04642       2.707    10.98    152.81
    0.02154       2.918    14.89    150.90
    0.01000       2.981    19.77    147.06
    0.00464       2.995    24.47    144.41
    0.00215       2.999    26.08    143.15
    0.00100       3.000    22.31    140.57
    0.00046       3.000  -999.99      0.00
    0.00022       3.000  -999.99      0.00
    0.00010       3.000  -999.99      0.00
    0.00005       3.000  -999.99      0.00
    0.00002       3.000  -999.99      0.00
    0.00001       3.000  -999.99      0.00
