Averaging kernel etc. information for: H2O_HR
Useful range: 316 hPa to 2.00e-03 hPa (8.0 to 91.2 km)
Mean vertical resln. over this range: 3.8 km, (2.2 -- 9.4 km)
      p/hPa  prec./ppmv    VR/km     HR/km
 1000.00000   1.000e+04  -999.99      0.00
  825.40417   1.000e+04  -999.99      0.00
  681.29205   1.000e+04  -999.99      0.00
  562.34131   1.000e+04  -999.99      0.00
  464.15887   1.000e+04  -999.99      0.00
  383.11868       1775.  -999.99      0.00
  316.22775       11.26     2.25    201.77
  261.01572       5.292     2.51    404.27
  215.44347       1.496     2.19    314.62
  177.82794      0.7576     2.83    284.90
  146.77992      0.4232     2.85    282.54
  121.15276      0.3235     3.00    232.62
  100.00000      0.2529     3.09    206.84
   82.54042      0.2325     2.89    209.73
   68.12920      0.2380     3.20    236.43
   56.23413      0.2539     3.24    218.87
   46.41589      0.2520     3.20    225.53
   38.31187      0.2521     3.17    240.54
   31.62278      0.2577     3.24    253.28
   26.10157      0.2633     3.28    260.88
   21.54435      0.2650     3.30    264.63
   17.78279      0.2658     3.24    267.44
   14.67799      0.2715     3.30    271.86
   12.11528      0.2736     3.27    278.02
   10.00000      0.2806     3.27    284.76
    8.25404      0.2869     3.26    289.81
    6.81292      0.2945     3.24    296.75
    5.62341      0.3047     3.25    307.72
    4.64159      0.3113     3.21    322.36
    3.83119      0.3222     3.22    337.14
    3.16228      0.3357     3.26    351.61
    2.61016      0.3495     3.27    366.46
    2.15443      0.3638     3.30    375.34
    1.77828      0.3779     3.26    377.07
    1.46780      0.4170     3.36    375.65
    1.21153      0.4835     2.47    415.39
    1.00000      0.4553     2.42    378.51
    0.68129      0.6384     3.27    389.22
    0.46416      0.8602     3.23    362.77
    0.31623       1.121     3.33    378.33
    0.21544       1.346     3.53    364.47
    0.14678       1.567     3.84    602.63
    0.10000       1.584     5.78    683.03
    0.04642       1.516     7.79    646.68
    0.02154       1.329     9.30    559.54
    0.01000       1.205     9.11    493.93
    0.00464       1.361     9.40    470.58
    0.00215       1.634     8.24    484.50
    0.00100       2.158     7.85    740.39
    0.00046       3.830     7.57    973.90
    0.00022       10.00  -999.99      0.00
    0.00010       10.00  -999.99      0.00
    0.00005       10.00  -999.99      0.00
    0.00002       10.00  -999.99      0.00
    0.00001       10.00  -999.99      0.00
