Averaging kernel etc. information for: H2O_HR
Useful range: 316 hPa to 2.00E-03 hPa (8.0 to 91.2 km)
Mean vertical resln. over this range: 4.0 km, (2.1 -- 10.4 km)
      p/hPa  prec./ppmv    VR/km     HR/km
 1000.00000   1.000e+04  -999.99      0.00
  825.40417   1.000e+04  -999.99      0.00
  681.29205   1.000e+04  -999.99      0.00
  562.34131   1.000e+04  -999.99      0.00
  464.15887   1.000e+04  -999.99      0.00
  383.11868       612.7  -999.99      0.00
  316.22775       2.221     2.08    238.89
  261.01572      0.7023     2.82    223.79
  215.44347      0.4392     2.83    234.43
  177.82794      0.3737     3.05    252.01
  146.77992      0.3100     3.07    263.19
  121.15276      0.2950     3.08    258.38
  100.00000      0.2892     3.14    251.51
   82.54042      0.2787     3.19    240.32
   68.12920      0.2765     3.27    237.03
   56.23413      0.2678     3.28    247.97
   46.41589      0.2679     3.31    249.69
   38.31187      0.2704     3.34    254.72
   31.62278      0.2741     3.37    268.34
   26.10157      0.2801     3.41    282.98
   21.54435      0.2828     3.44    290.00
   17.78279      0.2865     3.45    291.68
   14.67799      0.2904     3.45    294.95
   12.11528      0.2950     3.45    302.73
   10.00000      0.3006     3.42    314.06
    8.25404      0.3137     3.52    323.34
    6.81292      0.3243     3.55    331.06
    5.62341      0.3340     3.56    338.78
    4.64159      0.3477     3.56    347.32
    3.83119      0.3595     3.61    354.17
    3.16228      0.3682     3.57    359.75
    2.61016      0.3838     3.65    367.60
    2.15443      0.3972     3.61    377.57
    1.77828      0.4211     3.66    387.11
    1.46780      0.4544     3.69    392.88
    1.21153      0.5301     2.87    426.35
    1.00000      0.5010     2.52    394.18
    0.68129      0.6864     3.42    443.71
    0.46416      0.8964     3.32    531.86
    0.31623       1.136     3.35    611.69
    0.21544       1.347     3.48    681.92
    0.14678       1.498     3.72    699.71
    0.10000       1.517     5.41    740.55
    0.04642       1.806     6.74    335.08
    0.02154       1.824     7.08    747.66
    0.01000       1.788     8.45    715.91
    0.00464       1.677    10.44    464.93
    0.00215       2.448    10.16    237.67
    0.00100       4.390     8.47    194.84
    0.00046       6.000  -999.99      0.00
    0.00022       6.000  -999.99      0.00
    0.00010       6.000  -999.99      0.00
    0.00005       6.000  -999.99      0.00
    0.00002       6.000  -999.99      0.00
    0.00001       6.000  -999.99      0.00
