Averaging kernel etc. information for: HCN
Useful range: 10 hPa to 0.10 hPa (32.0 to 64.0 km)
Mean vertical resln. over this range: 12.1 km, (8.8 -- 18.1 km)
      p/hPa  prec./pptv    VR/km     HR/km
 1000.00000       1000.  -999.99      0.00
  681.29205       1000.  -999.99      0.00
  464.15887       1000.  -999.99      0.00
  316.22775       1000.  -999.99      0.00
  215.44347       1000.  -999.99      0.00
  146.77992       1000.  -999.99      0.00
  100.00000       67.01     6.73    784.12
   68.12920       39.05     7.71    583.47
   46.41589       31.49     7.99    489.39
   31.62278       29.41     7.83    434.36
   21.54435       29.20     8.31    387.96
   14.67799       29.73     8.74    366.36
   10.00000       30.23     8.78    363.71
    6.81292       31.08     8.99    373.94
    4.64159       32.39     9.32    393.37
    3.16228       34.01     9.78    420.62
    2.15443       35.90    10.25    455.15
    1.46780       38.08    10.86    497.13
    1.00000       40.37    11.28    552.54
    0.68129       41.72    11.41    645.47
    0.46416       42.64    12.00    772.39
    0.31623       42.33    12.77    926.14
    0.21544       41.53    15.21   1165.06
    0.14678       44.75    17.92   1498.03
    0.10000       108.5    18.14    173.73
    0.04642       206.2    17.00    141.52
    0.02154       339.5    15.90    133.34
    0.01000       524.5    15.42    129.67
    0.00464       1000.  -999.99      0.00
    0.00215       1000.  -999.99      0.00
    0.00100       1000.  -999.99      0.00
    0.00046       1000.  -999.99      0.00
    0.00022       1000.  -999.99      0.00
    0.00010       1000.  -999.99      0.00
    0.00005       1000.  -999.99      0.00
    0.00002       1000.  -999.99      0.00
    0.00001       1000.  -999.99      0.00
