Averaging kernel etc. information for: HCl
Useful range: 100 hPa to 0.15 hPa (16.0 to 61.2 km)
Mean vertical resln. over this range: 3.5 km, (2.7 -- 6.2 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       2.000  -999.99      0.00
  681.29205       2.000  -999.99      0.00
  464.15887       2.000  -999.99      0.00
  316.22775       2.000  -999.99      0.00
  215.44347       2.000  -999.99      0.00
  146.77992      0.3710     2.72    375.22
  100.00000      0.2207     2.71    325.14
   68.12920      0.1747     2.70    305.66
   46.41589      0.1524     2.69    295.59
   31.62278      0.1434     2.69    260.29
   21.54435      0.1607     2.70    231.29
   14.67799      0.1782     2.71    212.76
   10.00000      0.1956     2.72    207.42
    6.81292      0.2223     2.75    208.23
    4.64159      0.2576     2.78    215.82
    3.16228      0.2986     2.84    230.16
    2.15443      0.3488     2.95    251.00
    1.46780      0.4058     3.11    278.67
    1.00000      0.4657     3.40    315.59
    0.68129      0.5519     4.11    358.58
    0.46416      0.6210     4.96    412.72
    0.31623      0.6985     5.46    469.11
    0.21544      0.8455     5.90    536.20
    0.14678       1.158     6.20    626.81
    0.10000       1.438     8.03    742.25
    0.04642       3.561    10.38    118.81
    0.02154       3.881    13.77    115.27
    0.01000       3.970    17.83    113.27
    0.00464       3.991    25.59    112.70
    0.00215       3.997    30.61    112.27
    0.00100       4.000    29.58    109.53
    0.00046       4.000  -999.99      0.00
    0.00022       4.000  -999.99      0.00
    0.00010       4.000  -999.99      0.00
    0.00005       4.000  -999.99      0.00
    0.00002       4.000  -999.99      0.00
    0.00001       4.000  -999.99      0.00
