Averaging kernel etc. information for: HO2
Useful range: 22 hPa to 0.032 hPa (26.5 to 71.9 km)
Mean vertical resln. over this range: 5.1 km, (4.0 -- 10.1 km)
      p/hPa  prec./pptv    VR/km
 1000.00000   1.000e+04  -999.99
  681.29205   1.000e+04  -999.99
  464.15887   1.000e+04  -999.99
  316.22775   1.000e+04  -999.99
  215.44347   1.000e+04  -999.99
  146.77992       255.7     4.60
  100.00000       141.8     5.85
   68.12920       109.8     5.45
   46.41589       99.47     4.53
   31.62278       100.1     4.42
   21.54435       116.3     4.85
   14.67799       133.7     4.40
   10.00000       154.2     4.12
    6.81292       190.3     3.97
    4.64159       229.8     4.10
    3.16228       273.0     4.51
    2.15443       289.8     4.98
    1.46780       329.0     5.06
    1.00000       395.8     4.81
    0.68129       655.9     5.03
    0.46416       1091.     4.74
    0.31623       1754.     4.23
    0.21544       2418.     4.18
    0.14678       3066.     5.23
    0.10000       3236.     7.69
    0.04642       3540.    10.13
    0.02154       4028.    13.09
    0.01000       4279.    14.32
    0.00464       4365.    19.34
    0.00215       4433.    26.42
    0.00100       4749.    28.32
    0.00046   1.000e+04  -999.99
    0.00022   1.000e+04  -999.99
    0.00010   1.000e+04  -999.99
    0.00005   1.000e+04  -999.99
    0.00002   1.000e+04  -999.99
    0.00001   1.000e+04  -999.99
