Averaging kernel etc. information for: HOCl
Useful range: 10 hPa to 2.2 hPa (32.0 to 42.5 km)
Mean vertical resln. over this range: 6.0 km, (5.4 -- 6.4 km)
      p/hPa  prec./pptv    VR/km
 1000.00000       3000.  -999.99
  681.29205       3000.  -999.99
  464.15887       3000.  -999.99
  316.22775       3000.  -999.99
  215.44347       3000.  -999.99
  146.77992       767.9     3.35
  100.00000       401.2     4.91
   68.12920       318.5     4.42
   46.41589       287.9     4.14
   31.62278       274.5     4.37
   21.54435       290.0     5.20
   14.67799       303.0     5.42
   10.00000       310.1     5.44
    6.81292       324.1     5.78
    4.64159       345.1     6.08
    3.16228       374.5     6.31
    2.15443       440.3     6.36
    1.46780       618.3     5.78
    1.00000       895.2     4.66
    0.68129       2201.     4.59
    0.46416       2484.     5.46
    0.31623       2642.     6.36
    0.21544       2772.     7.69
    0.14678       2872.    10.79
    0.10000       2906.    14.17
    0.04642       2952.    17.99
    0.02154       2989.    22.77
    0.01000       2998.    24.58
    0.00464       2999.    23.50
    0.00215       3000.    22.88
    0.00100       3000.    22.54
    0.00046       3000.  -999.99
    0.00022       3000.  -999.99
    0.00010       3000.  -999.99
    0.00005       3000.  -999.99
    0.00002       3000.  -999.99
    0.00001       3000.  -999.99
