Averaging kernel etc. information for: N2O-190
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 6.1 km, (3.8 -- 8.5 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       50.00  -999.99      0.00
  146.77992       50.00  -999.99      0.00
  100.00000       20.13     3.77    485.52
   68.12920       15.59     5.16    418.42
   46.41589       13.96     4.67    382.74
   31.62278       13.79     4.90    346.88
   21.54435       14.31     5.41    284.01
   14.67799       15.04     5.82    259.17
   10.00000       15.63     5.99    253.48
    6.81292       16.33     6.21    258.81
    4.64159       17.16     6.50    271.20
    3.16228       18.04     6.85    290.49
    2.15443       18.68     7.29    320.55
    1.46780       18.65     7.99    362.03
    1.00000       18.13     8.50    422.77
    0.68129       16.90     9.62    525.89
    0.46416       15.07    10.92    640.91
    0.31623       15.98    10.90    801.90
    0.21544       20.42    10.10   1064.94
    0.14678       27.41    10.25   1577.58
    0.10000       174.3    11.35    124.78
    0.04642       186.4    14.02    121.53
    0.02154       196.5    16.85    120.89
    0.01000       199.1    22.35    120.50
    0.00464       200.0  -999.99      0.00
    0.00215       200.0  -999.99      0.00
    0.00100       200.0  -999.99      0.00
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
