Averaging kernel etc. information for: N2O-640
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 4.8 km, (4.0 -- 6.2 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       50.00  -999.99      0.00
  146.77992       27.20     4.87    650.94
  100.00000       25.15     5.49    589.40
   68.12920       20.78     5.66    552.96
   46.41589       16.71     4.74    495.18
   31.62278       14.77     4.25    447.54
   21.54435       14.99     4.60    412.57
   14.67799       14.31     4.17    390.27
   10.00000       13.87     4.05    386.24
    6.81292       13.64     4.02    336.37
    4.64159       13.85     4.14    323.63
    3.16228       14.25     4.33    320.61
    2.15443       14.59     4.77    321.65
    1.46780       14.63     5.43    329.44
    1.00000       14.16     6.21    357.99
    0.68129       13.19     7.33    432.81
    0.46416       11.74     8.79    528.24
    0.31623       12.16     9.09    682.70
    0.21544       15.59     8.08    992.63
    0.14678       22.24     8.13   1569.65
    0.10000       150.9     8.31    133.00
    0.04642       175.3    10.60    123.62
    0.02154       193.2    14.16    123.73
    0.01000       198.4    18.41    123.30
    0.00464       199.6    24.81    122.60
    0.00215       199.9    27.01    121.82
    0.00100       200.0    24.34    120.23
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
