Averaging kernel etc. information for: N2O
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 6.6 km, (5.3 -- 8.8 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       50.00  -999.99      0.00
  146.77992       21.04     4.61    652.03
  100.00000       18.04     6.51    523.12
   68.12920       16.20     5.72    456.43
   46.41589       14.91     5.35    414.49
   31.62278       14.49     5.26    393.81
   21.54435       15.40     5.88    336.76
   14.67799       15.81     5.99    299.97
   10.00000       16.34     6.18    290.45
    6.81292       17.07     6.37    295.79
    4.64159       17.94     6.65    309.38
    3.16228       18.87     7.00    330.61
    2.15443       19.55     7.48    364.87
    1.46780       19.52     8.26    405.91
    1.00000       19.00     8.83    460.13
    0.68129       17.63     9.90    559.80
    0.46416       15.56    11.31    694.78
    0.31623       16.23    11.32    910.75
    0.21544       20.53    10.34   1264.28
    0.14678       27.34    10.48   1749.26
    0.10000       175.7    11.92    129.31
    0.04642       186.4    13.37    125.88
    0.02154       196.4    15.89    124.94
    0.01000       199.1    20.74    124.25
    0.00464       200.0  -999.99      0.00
    0.00215       200.0  -999.99      0.00
    0.00100       200.0  -999.99      0.00
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
