Averaging kernel etc. information for: N2O
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 4.8 km, (4.0 -- 6.2 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       50.00  -999.99      0.00
  146.77992       27.08     5.01    599.03
  100.00000       25.25     5.73    588.31
   68.12920       21.20     5.79    552.96
   46.41589       16.97     4.80    492.81
   31.62278       14.94     4.29    446.23
   21.54435       15.09     4.63    411.74
   14.67799       14.37     4.18    390.09
   10.00000       13.85     4.02    388.08
    6.81292       13.87     4.09    346.40
    4.64159       13.98     4.16    334.41
    3.16228       14.35     4.34    331.06
    2.15443       14.70     4.78    331.33
    1.46780       14.78     5.47    339.09
    1.00000       14.34     6.25    369.19
    0.68129       13.33     7.36    448.77
    0.46416       11.82     8.82    547.20
    0.31623       12.28     9.11    691.15
    0.21544       15.81     8.07    907.16
    0.14678       22.63     8.15   1485.56
    0.10000       152.7     8.46    131.24
    0.04642       176.1    10.74    121.66
    0.02154       193.3    14.35    120.66
    0.01000       198.4    18.86    119.64
    0.00464       199.6    26.88    118.82
    0.00215       199.9    31.47    117.85
    0.00100       200.0    28.31    115.58
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
