Averaging kernel etc. information for: N2O
Useful range: 100 hPa to 1.0 hPa (16.0 to 48.0 km)
Mean vertical resln. over this range: 6.2 km, (4.8 -- 8.6 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       50.00  -999.99      0.00
  681.29205       50.00  -999.99      0.00
  464.15887       50.00  -999.99      0.00
  316.22775       50.00  -999.99      0.00
  215.44347       18.66     5.02    233.38
  146.77992       12.61     5.27    183.97
  100.00000       12.38     5.06    171.30
   68.12920       12.03     4.88    164.49
   46.41589       12.07     4.78    163.72
   31.62278       12.36     4.96    164.46
   21.54435       13.57     5.56    166.77
   14.67799       14.29     5.76    169.65
   10.00000       14.89     5.94    172.77
    6.81292       15.56     6.13    177.33
    4.64159       16.38     6.41    184.41
    3.16228       17.26     6.75    195.02
    2.15443       17.90     7.23    210.75
    1.46780       17.77     8.00    231.74
    1.00000       17.10     8.56    258.68
    0.68129       15.87     9.70    326.00
    0.46416       14.04    11.14    453.86
    0.31623       14.46    11.29    625.62
    0.21544       16.89    10.36    897.17
    0.14678       23.88    10.15   1689.19
    0.10000       134.3     7.42    121.38
    0.04642       200.0  -999.99      0.00
    0.02154       200.0  -999.99      0.00
    0.01000       200.0  -999.99      0.00
    0.00464       200.0  -999.99      0.00
    0.00215       200.0  -999.99      0.00
    0.00100       200.0  -999.99      0.00
    0.00046       200.0  -999.99      0.00
    0.00022       200.0  -999.99      0.00
    0.00010       200.0  -999.99      0.00
    0.00005       200.0  -999.99      0.00
    0.00002       200.0  -999.99      0.00
    0.00001       200.0  -999.99      0.00
