Averaging kernel etc. information for: O3_HR
Useful range: 215 hPa to 0.022 hPa (10.7 to 74.5 km)
Mean vertical resln. over this range: 3.2 km, (2.6 -- 5.4 km)
      p/hPa  prec./ppmv    VR/km     HR/km
 1000.00000      0.5000  -999.99      0.00
  825.40417      0.5000  -999.99      0.00
  681.29205      0.5000  -999.99      0.00
  562.34131      0.5000  -999.99      0.00
  464.15887      0.5000  -999.99      0.00
  383.11868      0.5000  -999.99      0.00
  316.22775     0.04404     2.52    476.83
  261.01572     0.02563     3.29    451.14
  215.44347     0.02334     2.99    412.73
  177.82794     0.02451     2.99    357.08
  146.77992     0.02859     2.69    392.99
  121.15276     0.03555     2.59    343.42
  100.00000     0.03912     2.63    307.48
   82.54042     0.04177     2.68    296.40
   68.12920     0.04570     2.73    303.03
   56.23413     0.05164     2.73    318.91
   46.41589     0.05961     2.72    339.82
   38.31187     0.06863     2.71    365.11
   31.62278     0.07898     2.77    396.25
   26.10157     0.08968     2.81    437.99
   21.54435      0.1028     2.91    487.47
   17.78279      0.1130     2.95    523.04
   14.67799      0.1214     2.99    542.46
   12.11528      0.1252     3.05    553.88
   10.00000      0.1251     3.08    559.31
    8.25404      0.1280     3.11    535.32
    6.81292      0.1288     3.12    512.47
    5.62341      0.1284     3.12    490.98
    4.64159      0.1274     3.14    474.13
    3.83119      0.1258     3.17    462.74
    3.16228      0.1237     3.21    456.86
    2.61016      0.1220     3.28    454.60
    2.15443      0.1201     3.34    453.90
    1.77828      0.1205     3.42    457.56
    1.46780      0.1291     3.58    467.56
    1.21153      0.1548     2.92    499.77
    1.00000      0.1667     2.63    493.70
    0.68129      0.2658     3.48    551.76
    0.46416      0.2993     3.27    573.26
    0.31623      0.3317     3.16    543.53
    0.21544      0.3705     3.03    494.34
    0.14678      0.4103     2.86    473.37
    0.10000      0.3885     4.06    444.33
    0.04642      0.3935     5.38    407.22
    0.02154      0.6472     5.38    299.53
    0.01000       1.062     5.43    293.06
    0.00464       1.533     5.57    366.37
    0.00215       2.068     5.85    443.42
    0.00100       2.788     7.20    695.79
    0.00046       4.614     7.44    634.53
    0.00022       10.00  -999.99      0.00
    0.00010       10.00  -999.99      0.00
    0.00005       10.00  -999.99      0.00
    0.00002       10.00  -999.99      0.00
    0.00001       10.00  -999.99      0.00
