Averaging kernel etc. information for: O3_HR
Useful range: 215 hPa to 0.022 hPa (10.7 to 74.5 km)
Mean vertical resln. over this range: 3.3 km, (2.7 -- 5.6 km)
      p/hPa  prec./ppmv    VR/km     HR/km
 1000.00000      0.5000  -999.99      0.00
  825.40417      0.5000  -999.99      0.00
  681.29205      0.5000  -999.99      0.00
  562.34131      0.5000  -999.99      0.00
  464.15887      0.5000  -999.99      0.00
  383.11868      0.5000  -999.99      0.00
  316.22775     0.04543     2.61    280.09
  261.01572     0.02727     3.70    257.06
  215.44347     0.02563     3.55    244.45
  177.82794     0.02675     3.51    239.78
  146.77992     0.03203     3.07    335.54
  121.15276     0.03865     2.95    324.64
  100.00000     0.04157     2.97    301.68
   82.54042     0.04395     3.00    290.80
   68.12920     0.04760     3.04    275.56
   56.23413     0.05339     3.03    276.41
   46.41589     0.06103     2.99    282.83
   38.31187     0.06927     2.96    292.36
   31.62278     0.07780     2.94    302.32
   26.10157     0.08632     2.90    307.34
   21.54435     0.09559     2.96    324.32
   17.78279      0.1039     2.97    360.78
   14.67799      0.1123     3.02    376.27
   12.11528      0.1140     3.02    408.24
   10.00000      0.1136     3.00    429.46
    8.25404      0.1153     3.03    400.43
    6.81292      0.1168     3.05    379.52
    5.62341      0.1191     3.10    369.00
    4.64159      0.1214     3.19    367.55
    3.83119      0.1233     3.30    366.87
    3.16228      0.1248     3.42    364.03
    2.61016      0.1246     3.50    355.55
    2.15443      0.1235     3.57    353.23
    1.77828      0.1236     3.62    356.97
    1.46780      0.1315     3.75    365.96
    1.21153      0.1569     3.12    385.56
    1.00000      0.1687     2.66    365.35
    0.68129      0.2723     3.79    248.70
    0.46416      0.3201     3.48    251.22
    0.31623      0.3702     3.46    271.33
    0.21544      0.4282     3.31    286.03
    0.14678      0.4749     3.00    306.79
    0.10000      0.4276     4.15    319.45
    0.04642      0.4702     5.48    357.40
    0.02154      0.7618     5.59    282.78
    0.01000       1.217     5.60    270.56
    0.00464       1.777     5.79    327.45
    0.00215       2.237     6.07    436.17
    0.00100       2.942     7.69    574.23
    0.00046       4.409     9.80    838.82
    0.00022       10.00  -999.99      0.00
    0.00010       10.00  -999.99      0.00
    0.00005       10.00  -999.99      0.00
    0.00002       10.00  -999.99      0.00
    0.00001       10.00  -999.99      0.00
