Averaging kernel etc. information for: OH
Useful range: 32 hPa to 3.20e-03 hPa (23.9 to 87.9 km)
Mean vertical resln. over this range: 2.8 km, (2.7 -- 3.6 km)
      p/hPa  prec./pptv    VR/km     HR/km
 1000.00000       150.0  -999.99      0.00
  681.29205       150.0  -999.99      0.00
  464.15887       150.0  -999.99      0.00
  316.22775       150.0  -999.99      0.00
  215.44347       150.0  -999.99      0.00
  146.77992       150.0  -999.99      0.00
  100.00000       150.0  -999.99      0.00
   68.12920       36.57     3.66    414.34
   46.41589       13.55     2.74    196.91
   31.62278       11.65     2.68    178.57
   21.54435       8.933     2.67    174.05
   14.67799       8.667     2.67    169.14
   10.00000       9.485     2.67    168.02
    6.81292       12.24     2.67    166.00
    4.64159       18.75     2.67    166.19
    3.16228       29.90     2.67    164.75
    2.15443       46.10     2.67    164.20
    1.46780       67.94     2.67    163.25
    1.00000       96.58     2.67    162.86
    0.68129       150.9     2.67    162.76
    0.46416       243.2     2.67    162.39
    0.31623       390.3     2.68    162.53
    0.21544       630.0     2.69    161.71
    0.14678       1031.     2.73    161.04
    0.10000       1737.     2.80    160.87
    0.06813       2543.     2.89    157.08
    0.04642       3171.     2.95    159.27
    0.03162       3393.     2.92    164.84
    0.02154       3238.     2.86    177.35
    0.01468       3168.     2.87    190.76
    0.01000       3454.     2.97    188.62
    0.00681       3958.     3.17    184.73
    0.00464       4553.     3.44    184.30
    0.00316       5272.     3.56    186.91
    0.00215       5546.     3.02    214.78
    0.00147   1.500e+04  -999.99      0.00
    0.00100   1.500e+04  -999.99      0.00
    0.00068   1.500e+04  -999.99      0.00
    0.00046   1.500e+04  -999.99      0.00
    0.00032   1.500e+04  -999.99      0.00
    0.00022   1.500e+04  -999.99      0.00
    0.00015   1.500e+04  -999.99      0.00
    0.00010   1.500e+04  -999.99      0.00
    0.00007   1.500e+04  -999.99      0.00
    0.00005   1.500e+04  -999.99      0.00
    0.00003   1.500e+04  -999.99      0.00
    0.00002   1.500e+04  -999.99      0.00
    0.00001   1.500e+04  -999.99      0.00
    0.00001   1.500e+04  -999.99      0.00
