Averaging kernel etc. information for: OH
Useful range: 32 hPa to 3.20e-03 hPa (23.9 to 87.9 km)
Mean vertical resln. over this range: 2.8 km, (2.7 -- 4.1 km)
      p/hPa  prec./pptv    VR/km     HR/km
 1000.00000       150.0  -999.99      0.00
  681.29205       150.0  -999.99      0.00
  464.15887       150.0  -999.99      0.00
  316.22775       150.0  -999.99      0.00
  215.44347       150.0  -999.99      0.00
  146.77992       150.0  -999.99      0.00
  100.00000       150.0  -999.99      0.00
   68.12920       50.44     3.14    502.87
   46.41589       13.13     2.71    192.96
   31.62278       9.623     2.70    175.97
   21.54435       7.587     2.68    173.05
   14.67799       6.452     2.67    169.04
   10.00000       5.926     2.67    167.27
    6.81292       6.846     2.67    165.71
    4.64159       10.14     2.67    165.80
    3.16228       15.70     2.67    166.04
    2.15443       23.78     2.67    166.19
    1.46780       36.22     2.67    166.39
    1.00000       56.09     2.67    166.08
    0.68129       89.08     2.67    166.09
    0.46416       128.8     2.67    166.73
    0.31623       173.2     2.67    166.76
    0.21544       230.2     2.67    167.06
    0.14678       317.3     2.67    167.56
    0.10000       469.1     2.68    167.97
    0.06813       708.5     2.69    168.85
    0.04642       992.4     2.71    171.74
    0.03162       1296.     2.73    176.03
    0.02154       1749.     2.77    182.58
    0.01468       2355.     2.86    189.89
    0.01000       3011.     2.97    196.33
    0.00681       3749.     3.16    195.86
    0.00464       4550.     3.50    192.26
    0.00316       5655.     4.12    189.92
    0.00215       6341.     3.47    214.53
    0.00147   1.500e+04  -999.99      0.00
    0.00100   1.500e+04  -999.99      0.00
    0.00068   1.500e+04  -999.99      0.00
    0.00046   1.500e+04  -999.99      0.00
    0.00032   1.500e+04  -999.99      0.00
    0.00022   1.500e+04  -999.99      0.00
    0.00015   1.500e+04  -999.99      0.00
    0.00010   1.500e+04  -999.99      0.00
    0.00007   1.500e+04  -999.99      0.00
    0.00005   1.500e+04  -999.99      0.00
    0.00003   1.500e+04  -999.99      0.00
    0.00002   1.500e+04  -999.99      0.00
    0.00001   1.500e+04  -999.99      0.00
    0.00001   1.500e+04  -999.99      0.00
