Averaging kernel etc. information for: SO2
Useful range: 215 hPa to 10 hPa (10.7 to 32.0 km)
Mean vertical resln. over this range: 3.0 km, (2.8 -- 3.4 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       10.00  -999.99      0.00
  681.29205       10.00  -999.99      0.00
  464.15887       10.00  -999.99      0.00
  316.22775       6.361     2.80    304.62
  215.44347       4.528     2.88    240.47
  146.77992       3.449     2.85    217.31
  100.00000       3.383     2.84    206.44
   68.12920       3.476     2.86    199.78
   46.41589       3.630     2.89    193.96
   31.62278       3.873     2.97    185.40
   21.54435       4.495     3.11    180.78
   14.67799       5.089     3.24    172.88
   10.00000       5.504     3.38    169.37
    6.81292       5.972     3.59    168.15
    4.64159       6.544     3.86    169.20
    3.16228       7.161     4.26    172.82
    2.15443       7.807     4.87    179.57
    1.46780       8.400     5.58    188.40
    1.00000       8.863     6.37    199.85
    0.68129       9.295     7.82    207.42
    0.46416       9.561     8.90    214.77
    0.31623       9.738    10.44    218.56
    0.21544       9.850    12.82    219.10
    0.14678       9.920    17.49    214.62
    0.10000       9.937    22.87    201.19
    0.04642       9.965    25.82    188.06
    0.02154       9.990    29.35    178.36
    0.01000       9.997    30.30    172.21
    0.00464       9.999    29.49    168.53
    0.00215       10.00    29.00    166.45
    0.00100       10.00    28.76    164.45
    0.00046       10.00  -999.99      0.00
    0.00022       10.00  -999.99      0.00
    0.00010       10.00  -999.99      0.00
    0.00005       10.00  -999.99      0.00
    0.00002       10.00  -999.99      0.00
    0.00001       10.00  -999.99      0.00
