Averaging kernel etc. information for: Temperature_HR
Useful range: 316 hPa to 1.00e-03 hPa (8.0 to 96.0 km)
Mean vertical resln. over this range: 5.1 km, (2.2 -- 12.8 km)
      p/hPa  prec./K       VR/km     HR/km
 1000.00000       5.000  -999.99      0.00
  825.40417       5.625  -999.99      0.00
  681.29205       6.250  -999.99      0.00
  562.34131       6.875  -999.99      0.00
  464.15887       7.500  -999.99      0.00
  383.11868       8.125  -999.99      0.00
  316.22775      0.9763     2.18    168.31
  261.01572      0.6415     3.72    166.70
  215.44347      0.7305     3.08    165.53
  177.82794      0.7369     4.19    164.74
  146.77992      0.6689     4.43    164.32
  121.15276      0.6204     4.12    164.69
  100.00000      0.6712     4.55    165.98
   82.54042      0.6412     3.92    166.59
   68.12920      0.5560     3.65    165.72
   56.23413      0.5465     3.67    164.80
   46.41589      0.5375     3.55    164.72
   38.31187      0.5315     3.56    165.14
   31.62278      0.5369     3.57    165.35
   26.10157      0.5387     3.59    165.23
   21.54435      0.5435     3.63    165.11
   17.78279      0.5491     3.65    165.14
   14.67799      0.5543     3.69    165.21
   12.11528      0.5615     3.71    165.25
   10.00000      0.5734     3.77    165.30
    8.25404      0.5843     3.82    165.32
    6.81292      0.5998     3.88    165.31
    5.62341      0.6202     3.98    165.38
    4.64159      0.6334     4.07    165.42
    3.83119      0.6538     4.12    165.29
    3.16228      0.6866     4.28    165.30
    2.61016      0.7071     4.41    165.30
    2.15443      0.7254     4.39    165.47
    1.77828      0.7949     4.67    167.03
    1.46780      0.9207     4.60    170.24
    1.21153       1.044     5.01    172.94
    1.00000      0.9512     4.43    164.81
    0.68129      0.8669     5.67    159.69
    0.46416      0.9264     6.08    164.46
    0.31623       1.033     6.15    168.10
    0.21544       1.286     6.20    169.61
    0.14678       1.863     5.74    172.37
    0.10000       2.164     5.68    167.07
    0.04642       2.339     7.07    177.04
    0.02154       2.972     8.31    217.21
    0.01000       3.504    11.27    254.84
    0.00464       3.667    12.20    268.07
    0.00215       3.703    12.09    269.78
    0.00100       3.690    12.79    285.11
    0.00046       4.041    13.68    316.63
    0.00022       5.132    11.83    364.78
    0.00010       7.362    11.59    391.48
    0.00005       20.00  -999.99      0.00
    0.00002       20.00  -999.99      0.00
    0.00001       20.00  -999.99      0.00
