Averaging kernel etc. information for: Temperature_HR
Useful range: 316 hPa to 1.00E-03 hPa (8.0 to 96.0 km)
Mean vertical resln. over this range: 6.0 km, (2.8 -- 14.4 km)
      p/hPa  prec./K       VR/km     HR/km
 1000.00000       5.000  -999.99      0.00
  825.40417       5.625  -999.99      0.00
  681.29205       6.250  -999.99      0.00
  562.34131       6.875  -999.99      0.00
  464.15887       7.500  -999.99      0.00
  383.11868       8.125  -999.99      0.00
  316.22775       1.197     2.83    165.08
  261.01572      0.6993     4.44    165.60
  215.44347      0.8703     5.44    166.05
  177.82794      0.8583     5.09    165.93
  146.77992      0.7472     5.02    165.43
  121.15276      0.6859     4.44    165.28
  100.00000      0.7258     4.73    165.99
   82.54042      0.6930     3.95    166.75
   68.12920      0.5999     3.66    166.42
   56.23413      0.5678     3.69    165.36
   46.41589      0.5534     3.58    164.64
   38.31187      0.5496     3.60    164.98
   31.62278      0.5512     3.58    165.31
   26.10157      0.5555     3.61    165.23
   21.54435      0.5645     3.67    165.11
   17.78279      0.5805     3.76    165.21
   14.67799      0.5973     3.89    165.43
   12.11528      0.6149     4.00    165.65
   10.00000      0.6391     4.18    165.82
    8.25404      0.6516     4.36    165.72
    6.81292      0.6740     4.36    165.48
    5.62341      0.7146     4.87    165.42
    4.64159      0.7243     4.87    165.79
    3.83119      0.7611     4.97    166.39
    3.16228      0.8400     5.51    167.31
    2.61016      0.8721     6.09    167.77
    2.15443      0.8663     5.58    167.75
    1.77828      0.9717     5.64    169.27
    1.46780       1.191     7.42    172.48
    1.21153       1.315     7.88    173.93
    1.00000       1.178     6.74    164.09
    0.68129       1.111     7.19    159.40
    0.46416       1.188     8.16    165.35
    0.31623       1.250     7.97    170.06
    0.21544       1.510     7.92    170.90
    0.14678       2.186     7.73    173.33
    0.10000       2.494     6.43    173.46
    0.04642       2.521     7.57    178.10
    0.02154       3.057     8.59    217.84
    0.01000       3.681    11.36    277.51
    0.00464       3.871    12.77    296.10
    0.00215       3.829    12.76    278.72
    0.00100       3.905    14.43    287.31
    0.00046       4.224    14.39    312.63
    0.00022       5.321    12.87    335.51
    0.00010       7.645    11.54    305.12
    0.00005       20.00  -999.99      0.00
    0.00002       20.00  -999.99      0.00
    0.00001       20.00  -999.99      0.00
