Averaging kernel etc. information for: BrO
       p/hPa      VR/km      HR/km
      146.78    3.21166    477.033
         100    5.41416    416.718
     68.1292    6.51317    372.454
     46.4159    4.66091    305.785
     31.6228    4.46947    250.048
     21.5443     4.6758    220.032
      14.678    4.92391     202.39
          10    5.14477    191.521
     6.81292     5.3399    184.975
     4.64159    5.62671    181.482
     3.16228    5.99358    180.371
     2.15443    6.44255     181.57
      1.4678       6.91    185.406
           1    7.58644    192.487
    0.681292    8.58002    203.327
    0.464159     9.7323     218.15
    0.316228    11.0272    236.421
    0.215443    15.3551    256.225
     0.14678    18.5804    272.321
         0.1    20.5376    277.365
   0.0464159    22.8967    281.358
   0.0215443    25.5526    296.866
        0.01    27.2919    322.122
  0.00464159    28.4762    330.193
