Averaging kernel etc. information for: BrO
       p/hPa      VR/km      HR/km
      146.78    3.18784    461.915
         100    5.50528    398.888
     68.1292    5.09726    336.043
     46.4159    4.21252    258.295
     31.6228    4.21682    219.137
     21.5443    4.48554    198.967
      14.678    4.70559     187.16
          10    4.88167    180.125
     6.81292    5.10379    176.207
     4.64159    5.41323    174.509
     3.16228    5.79844    174.594
     2.15443    6.29515    176.656
      1.4678    6.80806    181.304
           1    7.51371    189.398
    0.681292    8.52362    201.626
    0.464159    9.68988    218.394
    0.316228    11.0298    239.275
    0.215443    15.6612    262.516
     0.14678    18.4223    282.883
         0.1    20.4456    292.594
   0.0464159    22.6637    303.233
   0.0215443    25.3587     334.52
        0.01    26.8961    417.448
  0.00464159    27.5448    571.162
