Averaging kernel etc. information for: BrO
       p/hPa      VR/km      HR/km
      146.78     3.2156    480.462
         100    5.40688    419.412
     68.1292    6.90809     380.46
     46.4159    4.94877    325.348
     31.6228    4.48386    264.021
     21.5443    4.63045    229.012
      14.678    4.99318    208.169
          10    5.20095     194.72
     6.81292    5.38937    186.542
     4.64159    5.70665     182.49
     3.16228    6.11006    181.369
     2.15443    6.57019    182.486
      1.4678    7.01495    186.055
           1    7.60698    192.742
    0.681292    8.55084    203.158
    0.464159    9.59819     217.54
    0.316228    10.7852    235.588
    0.215443    14.1816    255.913
     0.14678     18.177    274.057
         0.1     20.577    282.848
   0.0464159    22.5736    291.082
   0.0215443    24.6702    311.844
        0.01    26.2891    359.022
  0.00464159    27.1636    424.172
