Averaging kernel etc. information for: BrO
       p/hPa      VR/km      HR/km
      146.78    3.32775    466.539
         100    5.25135    407.082
     68.1292     6.1103    354.852
     46.4159    4.66626    278.565
     31.6228     4.5372    231.784
     21.5443    4.74159    207.513
      14.678    4.91995    193.642
          10    5.07789    185.309
     6.81292    5.22433    180.381
     4.64159    5.48024     177.84
     3.16228    5.84358    177.294
     2.15443    6.31928    178.895
      1.4678    6.82395     183.14
           1    7.51259    190.788
    0.681292    8.52654    202.444
    0.464159    9.68802    218.436
    0.316228    11.0765    238.113
    0.215443    15.7939    259.336
     0.14678    18.4649    276.501
         0.1    20.5932    282.193
   0.0464159     22.928    286.805
   0.0215443    25.6985    303.205
        0.01    27.3817    330.541
  0.00464159    28.2094    341.824
