Averaging kernel etc. information for: CH3CN
       p/hPa      VR/km      HR/km
      146.78    3.18925     763.05
         100    4.65564    699.379
     68.1292     7.2699    566.514
     46.4159    5.74001    510.252
     31.6228    5.96679    462.058
     21.5443    6.40861     417.71
      14.678    6.72906    392.621
          10    7.27699    396.956
     6.81292    7.83927    426.419
     4.64159    8.49414    471.675
     3.16228    9.27167    527.085
     2.15443    7.44184     594.81
      1.4678    5.07266    689.332
           1    5.34459    865.814
    0.681292    2.97225    122.928
    0.464159    3.49506    119.328
    0.316228     4.1395    122.982
    0.215443    5.15882    129.622
     0.14678    7.61719    130.013
         0.1    9.79468     125.34
   0.0464159    12.1552    121.965
   0.0215443    15.9465    120.356
        0.01    21.3689    119.596
  0.00464159    23.1495        117
  0.00215443    20.8032    118.653
       0.001    20.3681    124.159
