Averaging kernel etc. information for: CH3CN
       p/hPa      VR/km      HR/km
      146.78       3.17    756.625
         100      4.656    700.673
     68.1292    6.66337    561.195
     46.4159    5.56356    500.706
     31.6228     5.8267    448.994
     21.5443    6.29085    400.148
      14.678    6.66119    371.283
          10    7.18872    376.538
     6.81292    7.78714    409.364
     4.64159     8.4554    457.372
     3.16228    9.23446    515.201
     2.15443    7.41438    585.674
      1.4678    5.10015    683.764
           1    5.32473    862.541
    0.681292    2.96512    121.271
    0.464159     3.4866    118.238
    0.316228    4.15841    122.135
    0.215443    5.13389    129.059
     0.14678    7.37983    129.881
         0.1    9.81079    127.147
   0.0464159    12.0776    125.583
   0.0215443    15.7392    124.687
        0.01    21.0904     124.48
  0.00464159    22.6499    196.419
  0.00215443    20.5938     178.31
       0.001    20.1829    134.484
