Averaging kernel etc. information for: CH3CN
       p/hPa      VR/km      HR/km
      146.78    3.27904    782.621
         100    4.18216     698.08
     68.1292    8.62862     577.61
     46.4159     6.2674      526.3
     31.6228    6.03377    487.277
     21.5443    6.34759    449.725
      14.678    6.83068    424.353
          10    7.26974    422.865
     6.81292    7.82949    445.679
     4.64159    8.57947    485.334
     3.16228    9.27716    537.526
     2.15443    7.51698    605.531
      1.4678     5.0791    702.338
           1    5.34041    870.719
    0.681292    2.97269    124.787
    0.464159    3.51167    118.642
    0.316228    4.20126    121.926
    0.215443    4.96062    126.436
     0.14678    6.65715    128.755
         0.1    8.27335    130.271
   0.0464159      11.38    125.068
   0.0215443    15.0881    122.655
        0.01    19.1007    122.324
  0.00464159    19.4903    121.903
  0.00215443    17.9226    122.465
       0.001    17.4952    130.588
