Averaging kernel etc. information for: CH3CN
       p/hPa      VR/km      HR/km
      146.78    3.22168    759.216
         100    4.32409    702.644
     68.1292    7.93812     570.36
     46.4159    5.82276    507.453
     31.6228    5.95441    454.622
     21.5443    6.38125    406.225
      14.678    6.72547    378.282
          10    7.22679    382.777
     6.81292    7.79596    414.477
     4.64159     8.4388    461.486
     3.16228    9.24432    518.128
     2.15443    7.42339    587.483
      1.4678    5.07845    685.279
           1    5.34365    865.179
    0.681292    2.97396    121.955
    0.464159    3.50412    118.265
    0.316228    4.16369     122.47
    0.215443    5.22538    129.322
     0.14678    7.72151    130.553
         0.1     9.7724    127.354
   0.0464159    12.2856    124.774
   0.0215443    15.9608    123.293
        0.01    21.2121     122.35
  0.00464159    22.2739    120.309
  0.00215443    20.5353     121.24
       0.001    20.1684    125.385
