Averaging kernel etc. information for: CH3Cl
       p/hPa      VR/km      HR/km
      146.78    3.20212    559.745
         100    5.93109    497.547
     68.1292    4.66772    466.752
     46.4159    4.96689     455.18
     31.6228    5.93981    455.114
     21.5443     7.0015     494.78
      14.678    8.00128    572.859
          10     9.0544    683.003
     6.81292    10.0034    773.821
     4.64159    10.8657    858.055
     3.16228    11.9494    943.977
     2.15443      12.36    1036.96
      1.4678    12.8597    1133.22
           1    15.2708    1140.72
    0.681292     18.277     183.77
    0.464159    21.6126    178.274
    0.316228    23.5375    172.569
    0.215443    24.3571    167.542
     0.14678    22.3467    162.731
         0.1    21.4709     157.74
   0.0464159    21.0448    153.998
   0.0215443    20.7532    150.829
        0.01    20.6221    148.505
