Averaging kernel etc. information for: CH3Cl
       p/hPa      VR/km      HR/km
      146.78    3.03924    612.565
         100    5.40041    518.549
     68.1292    4.47168    466.976
     46.4159    4.70307     443.74
     31.6228    5.74439     434.18
     21.5443    6.80974    465.729
      14.678     7.8805    539.435
          10    8.88384    657.905
     6.81292    9.89428    757.113
     4.64159    10.7285    844.581
     3.16228    11.7754    931.813
     2.15443    12.1854    1027.73
      1.4678    12.7917    1128.25
           1    15.1633    1137.22
    0.681292    18.2326    158.786
    0.464159    21.3593    155.142
    0.316228     23.213    151.397
    0.215443    23.7959     148.14
     0.14678    21.7381    145.146
         0.1    20.9631    142.171
   0.0464159    20.6016    139.983
   0.0215443     20.421    137.999
        0.01    20.3772    136.754
