Averaging kernel etc. information for: CH3Cl
       p/hPa      VR/km      HR/km
      146.78    3.55428    564.758
         100    5.86361    506.447
     68.1292    5.07834    476.218
     46.4159     5.2686    460.452
     31.6228     5.6856    462.231
     21.5443    6.82281    493.678
      14.678     8.0286    569.586
          10    9.09408    692.939
     6.81292    10.0389    794.069
     4.64159    10.9075    876.485
     3.16228    11.9498      955.2
     2.15443    12.7016     1044.3
      1.4678     13.752    1144.96
           1    16.3678    1156.07
    0.681292    19.6593    253.378
    0.464159    22.6704    255.306
    0.316228    24.4545    263.195
    0.215443    25.7546    269.081
     0.14678     24.093    272.054
         0.1    22.4738    271.263
   0.0464159    21.9335    265.533
   0.0215443    21.5795    260.073
        0.01    21.3848     254.26
