Averaging kernel etc. information for: CH3Cl
       p/hPa      VR/km      HR/km
      146.78    3.53804    584.257
         100    5.79659    509.702
     68.1292    5.02847    472.649
     46.4159     5.1317    457.965
     31.6228    6.00213    458.832
     21.5443    7.04689    498.258
      14.678    8.02867    575.033
          10     9.0125    682.407
     6.81292    9.97487    770.755
     4.64159    10.8006    852.145
     3.16228     11.834    934.711
     2.15443    12.2242     1027.9
      1.4678    12.7883    1127.36
           1    15.1644    1137.26
    0.681292    18.1676    185.381
    0.464159    21.4244    179.859
    0.316228    23.3161     174.37
    0.215443    24.0686    169.657
     0.14678    22.0988    165.224
         0.1    21.2572    160.595
   0.0464159    20.8567    157.003
   0.0215443    20.5833    153.869
        0.01    20.4569    151.701
