Averaging kernel etc. information for: CH3OH
       p/hPa      VR/km      HR/km
      146.78    2.71177     136.51
         100    3.32339    308.792
     68.1292    6.33501    435.224
     46.4159    5.69688     425.42
     31.6228    3.80542    475.794
     21.5443    3.42764    284.018
      14.678    3.75297    255.856
          10    4.06949    252.021
     6.81292    4.50769     265.67
     4.64159    5.19783     294.05
     3.16228    5.83222    342.384
     2.15443    5.91129    416.045
      1.4678    5.08333    506.276
           1    3.58827    652.184
    0.681292    3.99339    122.883
    0.464159    5.17044    124.149
    0.316228     6.0577    126.213
    0.215443    7.36741     130.34
     0.14678    10.3167    129.857
         0.1     13.417    124.083
   0.0464159    17.0979     119.69
   0.0215443    22.0092    117.128
        0.01     24.009    115.616
  0.00464159     22.762    114.821
  0.00215443    21.9277    114.099
       0.001    21.6461    113.247
