Averaging kernel etc. information for: CH3OH
       p/hPa      VR/km      HR/km
      146.78    2.70779        256
         100    3.19711    488.081
     68.1292    6.44224    462.091
     46.4159    5.70926    416.492
     31.6228    3.80458    475.564
     21.5443    3.44189    283.377
      14.678    3.78104     253.29
          10    4.11387    250.329
     6.81292    4.59555    264.895
     4.64159    5.27581    293.733
     3.16228    5.88963    342.889
     2.15443    5.97124    417.127
      1.4678    5.14688    507.745
           1     3.5969    651.086
    0.681292    3.99135    122.441
    0.464159    5.16425    123.898
    0.316228    6.16694    126.111
    0.215443    7.43301    130.267
     0.14678    10.3696    129.939
         0.1    13.6137    124.811
   0.0464159    17.2711    120.964
   0.0215443    21.9498    118.561
        0.01    24.7217    117.027
  0.00464159    23.7131    116.199
  0.00215443    22.6848    115.414
       0.001    22.3601    114.485
