Averaging kernel etc. information for: CH3OH
       p/hPa      VR/km      HR/km
      146.78    2.73459    136.142
         100    3.84697    513.727
     68.1292    5.98239    464.642
     46.4159    5.71573    429.921
     31.6228    3.69189    481.048
     21.5443    3.35963    311.597
      14.678    3.69829    280.699
          10    4.02287    266.788
     6.81292    4.43659    274.245
     4.64159    5.11253    297.263
     3.16228    5.72725    338.869
     2.15443     5.8546    406.835
      1.4678    5.02582    495.402
           1    3.52615    636.469
    0.681292    3.95311    123.512
    0.464159    5.32384    122.863
    0.316228    6.39703    123.718
    0.215443    7.37694    126.943
     0.14678    10.7772    127.961
         0.1    11.1953    126.295
   0.0464159    13.7577    120.584
   0.0215443    19.0672    116.724
        0.01    20.1065    115.138
  0.00464159    19.0478    114.086
  0.00215443    18.9564    113.318
       0.001    18.9591    112.453
