Averaging kernel etc. information for: CH3OH
       p/hPa      VR/km      HR/km
      146.78    2.74532    130.273
         100    3.82287    336.908
     68.1292    5.76662    436.083
     46.4159     5.7387    413.366
     31.6228    3.80316    478.311
     21.5443    3.44214    292.664
      14.678     3.7747     260.85
          10    4.08276    256.467
     6.81292    4.52906    270.903
     4.64159      5.211    300.132
     3.16228    5.83661    351.428
     2.15443    5.94404    425.011
      1.4678    5.15317    517.481
           1    3.61806    665.783
    0.681292     4.0597    122.629
    0.464159    5.33632    123.737
    0.316228    6.24376    125.938
    0.215443    7.63964    130.022
     0.14678    10.7309    129.992
         0.1    13.6102     124.85
   0.0464159    17.2234    120.814
   0.0215443    22.0131     118.35
        0.01    24.3365    116.702
  0.00464159    23.2414    115.697
  0.00215443      22.43    114.931
       0.001    22.1852    114.141
