Averaging kernel etc. information for: CO
       p/hPa      VR/km      HR/km
     316.228     3.4601    758.234
     215.443    4.97175    697.197
      146.78    6.19739    584.555
         100    5.24408    472.037
     68.1292    4.74413    408.171
     46.4159    4.82374    429.508
     31.6228    5.24282    402.471
     21.5443    5.45028    393.047
      14.678    5.26833    403.497
          10    4.94892    430.829
     6.81292    4.76244     338.84
     4.64159    4.58546    302.082
     3.16228    4.54255    291.956
     2.15443    4.57671    235.971
      1.4678    4.32088    221.046
           1    4.29235     221.86
    0.681292    4.08096     202.28
    0.464159    4.08208    199.111
    0.316228    4.28088    204.458
    0.215443      4.338    181.216
     0.14678    3.80993    177.514
         0.1    4.98635    172.851
   0.0464159    5.78228    149.575
   0.0215443    5.65171    162.673
        0.01    5.68494    153.147
  0.00464159    5.78746    168.941
  0.00215443    5.97106    191.789
       0.001    8.48405    187.074
 0.000464159    8.96429    159.733
