Averaging kernel etc. information for: CO
       p/hPa      VR/km      HR/km
     316.228    3.40944    721.824
     215.443    5.02661    646.589
      146.78    5.83597    542.772
         100    5.19827     404.52
     68.1292    4.73659    338.261
     46.4159    4.85267    389.833
     31.6228    5.26611    362.181
     21.5443    5.46059    352.813
      14.678    5.27673    367.128
          10    4.95264    402.627
     6.81292    4.75629    309.935
     4.64159    4.57671     280.19
     3.16228    4.54012    273.728
     2.15443    4.57155    223.449
      1.4678    4.19609    209.777
           1    4.11296    211.579
    0.681292    3.82367    193.839
    0.464159    3.73286     190.52
    0.316228    3.75141    195.642
    0.215443    3.62439    172.936
     0.14678    3.25021    167.899
         0.1    4.45717    165.703
   0.0464159     5.5552    145.081
   0.0215443    5.52017     158.89
        0.01    5.61458    147.433
  0.00464159     5.7356    157.645
  0.00215443    5.90968    179.675
       0.001      8.936    203.418
 0.000464159    9.63609    158.843
