Averaging kernel etc. information for: CO
       p/hPa      VR/km      HR/km
     316.228    3.52735    737.152
     215.443    4.97571    685.762
      146.78     6.9493    584.012
         100    5.63627    454.982
     68.1292    5.24635     386.03
     46.4159    5.32285    414.913
     31.6228    5.36582    390.142
     21.5443    5.57775    384.596
      14.678    5.41522    404.674
          10    5.09413    445.497
     6.81292    4.97766    367.007
     4.64159    4.84821    334.973
     3.16228    4.78616    324.038
     2.15443    4.75853    255.552
      1.4678    4.35929    237.427
           1    4.29927    240.777
    0.681292     4.1366    221.148
    0.464159    4.17699    221.315
    0.316228    4.38869    231.833
    0.215443    4.40336    204.068
     0.14678     3.7808    198.249
         0.1    5.25783    191.843
   0.0464159    5.92137    161.951
   0.0215443    5.75515     173.85
        0.01    5.80869    162.554
  0.00464159    5.83449    176.556
  0.00215443    5.96872    200.365
       0.001    8.98537     208.97
 0.000464159    9.14021    180.424
