Averaging kernel etc. information for: CO
       p/hPa      VR/km      HR/km
     316.228    3.50952    676.949
     215.443    4.81776     670.42
      146.78    6.82886    593.013
         100    5.42808    463.973
     68.1292    5.04287    402.617
     46.4159    5.05533    430.875
     31.6228    5.37937    410.805
     21.5443    5.57946    406.757
      14.678    5.32331    419.753
          10    4.97504    447.776
     6.81292    4.76684    369.384
     4.64159    4.57384    339.177
     3.16228    4.52569    337.834
     2.15443    4.54947    274.552
      1.4678    4.16229    256.602
           1    4.09258    261.398
    0.681292    3.82582    241.288
    0.464159    3.75123    236.555
    0.316228    3.80057    238.988
    0.215443    3.70099    202.154
     0.14678    3.31771    194.864
         0.1    4.53828    186.729
   0.0464159      5.598    156.149
   0.0215443      5.547    162.548
        0.01    5.61836    143.547
  0.00464159    5.73865     145.27
  0.00215443    5.90417    146.803
       0.001    8.93173    144.625
 0.000464159    10.0486    149.629
