Averaging kernel etc. information for: ClO
       p/hPa      VR/km      HR/km
      146.78     2.8213    606.151
         100    4.44478    493.895
     68.1292    3.10563    446.633
     46.4159    2.93959    412.826
     31.6228     2.9796    382.975
     21.5443    3.07539    348.523
      14.678    3.19228    317.456
          10    3.30625    302.338
     6.81292    3.46576     300.31
     4.64159    3.70496    307.968
     3.16228    4.06959    325.207
     2.15443     4.0141    354.034
      1.4678    3.19351    395.931
           1    2.84061    491.885
    0.681292    2.89674    129.998
    0.464159    3.13477     129.85
    0.316228    3.48677    134.965
    0.215443     4.1031    139.938
     0.14678    5.60191    145.922
         0.1    8.29129    143.886
   0.0464159    10.6859    140.652
   0.0215443    14.3733    137.728
        0.01    19.3417    134.509
  0.00464159    24.8239    132.459
  0.00215443    26.3766    130.546
       0.001    23.1502      128.2
