Averaging kernel etc. information for: ClO
       p/hPa      VR/km      HR/km
      146.78    2.75899    572.349
         100    3.31375     492.76
     68.1292    2.98446    424.864
     46.4159    2.88564    357.981
     31.6228    2.93011    300.975
     21.5443    3.01483    260.782
      14.678    3.12123    241.677
          10    3.24219     240.53
     6.81292     3.4022    248.908
     4.64159    3.64648     264.71
     3.16228    4.03225    289.242
     2.15443    4.02254    324.293
      1.4678    3.20507    377.406
           1    2.84626    477.098
    0.681292    2.90297    130.057
    0.464159    3.14686    130.103
    0.316228    3.50543    130.146
    0.215443    4.08939    134.659
     0.14678    5.66793    136.087
         0.1    8.25018     136.93
   0.0464159     10.746    137.386
   0.0215443    14.4498    137.268
        0.01     19.425    135.336
  0.00464159    23.6662    133.342
  0.00215443     24.233    131.427
       0.001    21.0987    129.317
