Averaging kernel etc. information for: ClO
       p/hPa      VR/km      HR/km
      146.78    2.96791    680.606
         100    5.38484    498.182
     68.1292     3.2611    451.543
     46.4159    3.00171    415.974
     31.6228    2.96614    380.425
     21.5443    3.04813    348.865
      14.678    3.17012    321.664
          10    3.29976    300.894
     6.81292    3.43108    294.845
     4.64159    3.67064    302.781
     3.16228    4.07838    321.574
     2.15443    4.07523    352.096
      1.4678    3.21577    396.168
           1    2.84362    486.854
    0.681292    2.89596    139.326
    0.464159    3.13124    133.135
    0.316228    3.47385    133.436
    0.215443    3.94537    136.572
     0.14678    4.62414    139.692
         0.1    7.13575    143.569
   0.0464159    10.5886    141.816
   0.0215443    14.7917     139.69
        0.01     19.817     137.24
  0.00464159    22.9995    134.774
  0.00215443    22.6845    133.193
       0.001    20.1169    131.252
