Averaging kernel etc. information for: ClO
       p/hPa      VR/km      HR/km
      146.78    2.89398    710.853
         100    5.47349    499.993
     68.1292    3.14857     445.91
     46.4159     2.9611    410.315
     31.6228    3.00078    379.865
     21.5443    3.09456    347.351
      14.678     3.2035    319.442
          10    3.30213    304.772
     6.81292    3.44347    303.384
     4.64159    3.66534    311.752
     3.16228    4.02075    329.435
     2.15443    3.98767    359.601
      1.4678    3.19128     402.25
           1    2.84098    500.161
    0.681292    2.89812    133.072
    0.464159    3.13891    138.361
    0.316228    3.49609    137.522
    0.215443    4.10801    137.185
     0.14678    5.64085    138.613
         0.1    8.29854    133.628
   0.0464159    10.6998    130.402
   0.0215443    14.3662    129.224
        0.01    19.2675     127.13
  0.00464159    24.2245    124.965
  0.00215443    25.3836    122.879
       0.001    21.9612    120.769
