Averaging kernel etc. information for: ClO_Methanol
       p/hPa      VR/km      HR/km
      146.78     2.9557    587.598
         100    4.76443    537.022
     68.1292    3.19556    455.205
     46.4159    3.00616    404.676
     31.6228    3.19143    315.166
     21.5443    3.36917    274.548
      14.678    3.46298     247.23
          10     3.5343    236.619
     6.81292    3.63197    238.173
     4.64159    3.85204    248.682
     3.16228    4.30061    268.491
     2.15443    4.35267    299.237
      1.4678    3.31817    353.234
           1    2.88253    470.088
    0.681292    2.95518    129.511
    0.464159    3.26628    131.643
    0.316228    3.69796    130.154
    0.215443    4.26386    138.484
     0.14678    5.69812    141.523
         0.1    8.06186    141.829
   0.0464159     10.837    138.457
   0.0215443    14.4773    135.854
        0.01    19.3037    132.514
  0.00464159    24.6645     130.06
  0.00215443    26.7694    127.872
       0.001     23.291    124.862
