Averaging kernel etc. information for: ClO_Methanol
       p/hPa      VR/km      HR/km
      146.78    2.89704    591.372
         100    4.27876     527.82
     68.1292    3.10327    442.489
     46.4159    2.96957    372.498
     31.6228    3.15144    279.039
     21.5443     3.3321    251.449
      14.678     3.4292    231.599
          10     3.5032     225.27
     6.81292    3.62128    230.073
     4.64159    3.86418    243.404
     3.16228    4.33884    265.776
     2.15443    4.45835    299.856
      1.4678    3.35699    359.714
           1    2.89145    474.238
    0.681292    2.95704    126.196
    0.464159    3.24699     128.93
    0.316228    3.67596    128.897
    0.215443    4.38766    138.173
     0.14678    6.08918    140.956
         0.1    8.35983    142.551
   0.0464159    10.7928    141.229
   0.0215443    14.3195    139.942
        0.01    18.6722    136.962
  0.00464159    24.2529    134.041
  0.00215443    25.4501    130.913
       0.001    23.0049    127.643
