Averaging kernel etc. information for: ClO_Methanol
       p/hPa      VR/km      HR/km
      146.78    3.05339        594
         100    5.29998    513.423
     68.1292    3.41969     453.09
     46.4159    3.08944    410.968
     31.6228    3.16366    336.338
     21.5443    3.32882    294.782
      14.678    3.44876    258.903
          10    3.53258    241.906
     6.81292    3.63346    241.388
     4.64159    3.87355    250.933
     3.16228    4.39283    269.414
     2.15443    4.51446    300.415
      1.4678    3.35305    358.105
           1    2.88375    466.902
    0.681292    2.94812    129.869
    0.464159    3.25108    131.684
    0.316228    3.68383    130.272
    0.215443    4.21849    138.622
     0.14678    4.97047    141.519
         0.1     7.3329    146.721
   0.0464159    10.6487    141.742
   0.0215443    14.7598    137.163
        0.01    19.6563    133.861
  0.00464159    23.1659    130.699
  0.00215443    23.3595    128.282
       0.001    20.5841    125.443
