Averaging kernel etc. information for: ClO_Methanol
       p/hPa      VR/km      HR/km
      146.78    2.98719    583.689
         100     4.9939    505.378
     68.1292    3.26174    450.208
     46.4159    3.05546    394.678
     31.6228    3.22753    300.746
     21.5443    3.40276    265.271
      14.678    3.48654    241.222
          10     3.5351    232.767
     6.81292     3.6138    236.184
     4.64159    3.81803    248.066
     3.16228    4.26582    268.792
     2.15443    4.37709    301.204
      1.4678    3.33181    358.551
           1    2.88527    472.514
    0.681292    2.95307    127.623
    0.464159    3.24236    130.959
    0.316228    3.65096    130.351
    0.215443    4.35934    140.042
     0.14678    6.11505    142.231
         0.1    8.48366    142.385
   0.0464159    10.7594    140.175
   0.0215443    14.2994    137.744
        0.01    19.0095    134.047
  0.00464159    24.1118    131.117
  0.00215443    25.2912    128.593
       0.001    22.1375    125.842
