Averaging kernel etc. information for: H2O
       p/hPa      VR/km      HR/km
     316.228    1.36441    121.603
     261.016    2.69549    183.016
     215.443    1.73641    196.491
     177.828    3.65487    211.203
      146.78    3.24722    224.846
     121.153    3.04226    228.681
         100    3.09868    241.128
     82.5404    3.08446    230.095
     68.1292    3.12794    227.458
     56.2341    3.14311     236.15
     46.4159    3.15628    246.087
     38.3119    3.18076    253.145
     31.6228    3.20896    263.675
     26.1016     3.2397    275.485
     21.5443    3.26584    280.221
     17.7828    3.29587    278.919
      14.678      3.305    279.321
     12.1153    3.32144    283.953
          10    3.31073    290.421
     8.25404    3.32492    294.306
     6.81292    3.31953    298.417
     5.62341    3.32572    304.727
     4.64159    3.31766    312.611
     3.83119    3.31249    321.372
     3.16228    3.32093    334.654
     2.61016    3.31348    353.022
     2.15443    3.35138     370.66
     1.77828    3.33469    380.214
      1.4678    3.26899    381.371
     1.21153    2.18756    419.172
           1    2.58498    393.274
    0.681292    3.16622    424.435
    0.464159    3.15281     371.18
    0.316228    3.21535    373.968
    0.215443    3.37289    354.795
     0.14678     3.5002    589.622
         0.1    5.27982    669.302
   0.0464159    7.55334    618.102
   0.0215443    8.69386    532.597
        0.01    10.0777    524.377
  0.00464159    10.1198    533.416
  0.00215443    7.20049    507.642
       0.001     6.0491    725.905
 0.000464159    6.35313    1192.16
