Averaging kernel etc. information for: H2O
       p/hPa      VR/km      HR/km
     316.228    1.35779     104.89
     261.016    2.82165    184.937
     215.443     1.5112    195.495
     177.828    4.04301    209.414
      146.78    3.21777    233.345
     121.153    3.07718    240.033
         100    3.12617     246.32
     82.5404    3.08342    238.742
     68.1292    3.09963    239.567
     56.2341    3.12768    241.527
     46.4159    3.14424    251.944
     38.3119    3.17022    262.535
     31.6228    3.20145    275.186
     26.1016    3.22493    284.994
     21.5443    3.25059    286.341
     17.7828     3.2767    286.258
      14.678    3.28591    290.595
     12.1153    3.29361    298.999
          10      3.276    308.782
     8.25404    3.27358    316.911
     6.81292    3.25986    327.874
     5.62341      3.258    340.782
     4.64159     3.2637    353.499
     3.83119    3.26711    361.309
     3.16228    3.29532    366.945
     2.61016     3.2946    376.458
     2.15443    3.35257    389.145
     1.77828    3.33431     398.38
      1.4678    3.28521    401.234
     1.21153    2.21254      431.2
           1    2.60273    406.054
    0.681292    3.18233    431.752
    0.464159    3.17444    439.953
    0.316228    3.24927    524.852
    0.215443    3.42782    567.514
     0.14678    3.58421    650.807
         0.1    5.40355    686.841
   0.0464159    7.73435    641.043
   0.0215443     9.1989     526.91
        0.01    10.4003    502.158
  0.00464159    10.0908    508.584
  0.00215443    7.35371    503.801
       0.001     6.2121    732.004
 0.000464159     6.5117    1132.97
