Averaging kernel etc. information for: H2O
       p/hPa      VR/km      HR/km
     316.228    1.45601    178.405
     261.016    3.35623    207.253
     215.443    3.11636    242.873
     177.828    3.27602    242.699
      146.78    3.32745    228.578
     121.153    3.03475    220.701
         100    3.27574    213.595
     82.5404    3.44948    204.827
     68.1292    3.51729    202.904
     56.2341     3.5164    224.662
     46.4159    3.51422    222.657
     38.3119    3.50875    219.023
     31.6228    3.51707    222.845
     26.1016    3.52033    234.548
     21.5443     3.5169    251.295
     17.7828    3.51963    265.751
      14.678    3.50471    274.171
     12.1153    3.48187    280.098
          10    3.44243    288.663
     8.25404    3.40041    301.179
     6.81292    3.37984    320.722
     5.62341    3.35905     341.19
     4.64159    3.37269    355.162
     3.83119    3.39242    359.219
     3.16228    3.42829    355.859
     2.61016    3.48534    352.479
     2.15443    3.51452    352.728
     1.77828    3.53275    355.981
      1.4678    3.44598    359.774
     1.21153    2.38235    401.448
           1    2.63963    371.746
    0.681292    3.17389    418.606
    0.464159    3.11718    472.754
    0.316228    3.12495    498.508
    0.215443    3.18135    554.039
     0.14678    3.21453    550.039
         0.1    4.83019    614.116
   0.0464159    6.89258    640.158
   0.0215443    8.42873    611.508
        0.01    10.5127    570.575
  0.00464159    9.63718     557.96
  0.00215443    6.60103    527.361
       0.001    6.69384    720.647
 0.000464159    9.55215    961.271
