Averaging kernel etc. information for: H2O
       p/hPa      VR/km      HR/km
     316.228    1.41973    172.093
     261.016    1.55937    463.354
     215.443    1.53409    386.842
     177.828    2.99296    317.571
      146.78     5.1147    269.032
     121.153    1.08915    223.331
         100    1.13128    207.915
     82.5404     3.1723    213.745
     68.1292    3.13316    235.867
     56.2341    3.15929    216.473
     46.4159    3.20134    225.299
     38.3119    3.21346    242.364
     31.6228    3.23771    255.113
     26.1016    3.24465    261.529
     21.5443    3.27704    264.425
     17.7828    3.28118    267.482
      14.678    3.29997    272.476
     12.1153     3.2826    278.974
          10    3.28189    286.173
     8.25404    3.26238    292.322
     6.81292    3.26079    301.044
     5.62341    3.24903    313.586
     4.64159    3.25248    328.334
     3.83119    3.25803    339.832
     3.16228    3.28318    352.193
     2.61016     3.2985    366.479
     2.15443    3.35793    376.789
     1.77828    3.35548    379.997
      1.4678    3.30268    378.621
     1.21153    2.27655    416.784
           1    2.65708    383.751
    0.681292    3.22766    398.226
    0.464159    3.21462    363.025
    0.316228    3.28447    376.164
    0.215443    3.45792    373.879
     0.14678    3.59364    608.908
         0.1    5.52802    683.237
   0.0464159    8.23396    650.129
   0.0215443    10.1115    563.381
        0.01    11.2657    492.893
  0.00464159    9.84068    468.755
  0.00215443    6.80495    483.782
       0.001    7.01172    732.799
 0.000464159    7.87343    945.144
