Averaging kernel etc. information for: HCN
       p/hPa      VR/km      HR/km
         100    4.56171    856.899
     68.1292     5.4476    698.329
     46.4159    8.40614     566.41
     31.6228    9.96165    489.725
     21.5443    8.97823     431.65
      14.678    8.98755    393.202
          10    9.05017    377.343
     6.81292    9.34298    380.665
     4.64159    9.79871    397.323
     3.16228    10.3955    423.803
     2.15443    11.1206    458.166
      1.4678    11.9883    499.987
           1    12.9221    556.968
    0.681292     13.934    659.998
    0.464159    15.1984    842.243
    0.316228    20.6389    1074.18
    0.215443    26.2091    1360.22
     0.14678    25.3915       1650
         0.1    23.5664    166.629
   0.0464159    20.5556     140.17
   0.0215443    18.0997    133.485
        0.01    16.8124    130.473
