Averaging kernel etc. information for: HCN
       p/hPa      VR/km      HR/km
         100    4.52224    864.029
     68.1292    5.44565    712.578
     46.4159    8.40262    567.991
     31.6228    9.81954     484.71
     21.5443    8.94622    423.858
      14.678    8.93623     385.21
          10    8.96364     368.78
     6.81292    9.23571    369.888
     4.64159    9.64598    383.002
     3.16228    10.2148    405.244
     2.15443    10.9392    435.714
      1.4678    11.8539    475.222
           1    12.9325    532.178
    0.681292    13.9963    639.249
    0.464159    15.3902    834.124
    0.316228    21.1689    1082.17
    0.215443    26.4931    1380.77
     0.14678    25.2924       1650
         0.1    23.4579    166.524
   0.0464159    20.9174    139.535
   0.0215443     18.875    132.742
        0.01    17.8415    129.687
