Averaging kernel etc. information for: HCN
       p/hPa      VR/km      HR/km
         100    4.72956    844.061
     68.1292    5.57428     672.48
     46.4159    7.77558    552.109
     31.6228    12.3132    482.616
     21.5443    8.86385    433.527
      14.678    9.05256    399.563
          10      9.055    379.904
     6.81292    9.22919    375.638
     4.64159    9.69466    385.101
     3.16228    10.2677    405.311
     2.15443    10.9803    434.552
      1.4678     11.874    473.566
           1    13.0504    531.038
    0.681292     14.083    640.586
    0.464159    15.1981    840.626
    0.316228    19.6283     1095.7
    0.215443    26.1504       1404
     0.14678    25.3913       1650
         0.1    22.6465    169.243
   0.0464159    20.5302    141.008
   0.0215443    18.8502    133.842
        0.01    17.8531    130.606
