Averaging kernel etc. information for: HCN
       p/hPa      VR/km      HR/km
         100    4.54976    834.025
     68.1292    5.42722    675.674
     46.4159    8.48263    559.691
     31.6228    10.0644    491.455
     21.5443    8.92351    435.764
      14.678    8.96383    397.465
          10    9.03547    381.986
     6.81292    9.32288    385.483
     4.64159    9.76352    401.723
     3.16228    10.3749    427.455
     2.15443    11.1349    461.368
      1.4678    12.0525    503.635
           1    13.0593    562.338
    0.681292    14.0486     672.49
    0.464159     15.338    858.535
    0.316228    20.7912    1094.62
    0.215443    26.3445    1381.82
     0.14678     25.394       1650
         0.1    23.6046    167.979
   0.0464159    20.6979    140.871
   0.0215443    18.3964    134.018
        0.01    17.2101    130.929
