Averaging kernel etc. information for: HCl
       p/hPa      VR/km      HR/km
      146.78    2.68972    396.514
         100    2.72828    366.503
     68.1292    2.70653    342.656
     46.4159    2.69688    303.577
     31.6228    2.70211    254.696
     21.5443     2.7101    224.737
      14.678    2.72089    207.208
          10    2.73439    201.708
     6.81292    2.75788    202.771
     4.64159    2.79695    209.446
     3.16228    2.86313    221.442
     2.15443    2.97306    240.578
      1.4678    3.15213    269.213
           1     3.5409    307.474
    0.681292    4.24353    352.567
    0.464159    5.11784    403.181
    0.316228    5.79443    457.814
    0.215443    6.13512     524.34
     0.14678    6.31056    613.082
         0.1    7.15047    747.355
   0.0464159    10.3762    120.519
   0.0215443    13.9201     115.81
        0.01     18.058     113.09
  0.00464159    25.4326    111.901
  0.00215443    30.3153    111.152
       0.001    29.0526     109.25
