Averaging kernel etc. information for: HCl
       p/hPa      VR/km      HR/km
      146.78    2.69235    398.519
         100     2.7326    323.443
     68.1292    2.71703    276.684
     46.4159    2.70718    241.078
     31.6228    2.71204    211.287
     21.5443    2.71796     196.31
      14.678    2.72557    186.803
          10    2.73634    184.687
     6.81292    2.75805    187.075
     4.64159    2.79656    194.287
     3.16228    2.86394    207.147
     2.15443    2.97738    225.813
      1.4678    3.16131    251.066
           1    3.55284    285.063
    0.681292    4.25855    327.201
    0.464159    5.14499    383.679
    0.316228    5.82517    444.747
    0.215443    6.22264    516.327
     0.14678    6.39656    609.503
         0.1    7.38056    742.084
   0.0464159    10.3564    118.314
   0.0215443    13.8337    115.568
        0.01    17.9377    113.855
  0.00464159    25.2606    113.003
  0.00215443    28.9644    111.841
       0.001     26.832    109.687
